PeakID (cmd=annotatePeaks.pl hyperDMR//specific_hyper_ESCC_Tumor.bed hg38 -cpu 4)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
37	chr3	188266059	188267089	+	0	NA	intron (NM_005578, intron 2 of 10)	GA-rich|Low_complexity|Low_complexity	41169	NM_001167671	4026	Hs.720220	NM_005578	ENSG00000145012	LPP	-	LIM domain containing preferred translocation partner in lipoma	protein-coding
86	chr8	126926902	126927773	+	0	NA	Intergenic	Intergenic	-85817	NR_045262	100750225	Hs.571530	NR_045262	ENSG00000253438	PCAT1	PCA1|PCAT-1	prostate cancer associated transcript 1	ncRNA
131	chr14	39233457	39234677	+	0	NA	5' UTR (NM_054024, exon 1 of 6)	5' UTR (NM_054024, exon 1 of 6)	152	NM_001329214	4253	Hs.287694	NM_005930	ENSG00000150527	MIA2	CTAGE5|MEA6|MGEA|MGEA11|MGEA6|TALI	MIA SH3 domain ER export factor 2	protein-coding
100	chr10	132113194	132113886	+	0	NA	intron (NM_001323086, intron 2 of 23)	intron (NM_001323086, intron 2 of 23)	47594	NM_001323089	282973	Hs.106254	NM_194303	ENSG00000188385	JAKMIP3	C10orf14|C10orf39|Jamip3|NECC2|bA140A10.5	Janus kinase and microtubule interacting protein 3	protein-coding
39	chr3	156605764	156606959	+	0	NA	Intergenic	Intergenic	-51161	NM_001308197	6747	Hs.518346	NM_007107	ENSG00000114850	SSR3	TRAPG	signal sequence receptor subunit 3	protein-coding
95	chr10	29647706	29648967	+	0	NA	intron (NM_001323599, intron 3 of 38)	intron (NM_001323599, intron 3 of 38)	-13365	NM_021738	6840	Hs.499209	NM_003174	ENSG00000197321	SVIL	-	supervillin	protein-coding
43	chr4	40622930	40623571	+	0	NA	intron (NM_001371114, intron 1 of 5)	intron (NM_001371114, intron 1 of 5)	6614	NM_001098634	54502	Hs.518727	NM_019027	ENSG00000163694	RBM47	NET18	RNA binding motif protein 47	protein-coding
28	chr2	176110217	176111598	+	0	NA	Intergenic	Intergenic	3627	NM_021192	3237	Hs.421136	NM_021192	ENSG00000128713	HOXD11	HOX4|HOX4F	homeobox D11	protein-coding
116	chr12	119692823	119694136	+	0	NA	intron (NM_007174, intron 45 of 46)	intron (NM_007174, intron 45 of 46)	20245	NR_031589	100302274		NR_031589	ENSG00000283768	MIR1178	MIRN1178|hsa-mir-1178	microRNA 1178	ncRNA
50	chr5	124278134	124279378	+	0	NA	intron (NR_125774, intron 4 of 5)	intron (NR_125774, intron 4 of 5)	159764	NR_125774	103724389	Hs.582211	NR_125774		LINC01170	-	long intergenic non-protein coding RNA 1170	ncRNA
125	chr13	40088199	40088672	+	0	NA	Intergenic	MIR|SINE|MIR	-93374	NR_046870	100874127	Hs.578028	NR_046870	ENSG00000230710	LINC00332	NCRNA00332	long intergenic non-protein coding RNA 332	ncRNA
1	chr1	182183193	182184303	+	0	NA	Intergenic	Intergenic	-122036	NM_001009992	127665	Hs.684328	NM_001009992	ENSG00000179930	ZNF648	-	zinc finger protein 648	protein-coding
80	chr8	30806724	30807548	+	0	NA	intron (NM_001009552, intron 1 of 6)	intron (NM_001009552, intron 1 of 6)	5682	NM_001009552	5516	Hs.491440	NM_004156	ENSG00000104695	PPP2CB	PP2Abeta|PP2CB	protein phosphatase 2 catalytic subunit beta	protein-coding
160	chr19	54202627	54203766	+	0	NA	intron (NM_001321706, intron 3 of 3).9	intron (NM_001321706, intron 3 of 3).9	2338	NM_001321706	6203	Hs.467284	NM_001013	ENSG00000170889	RPS9	S9	ribosomal protein S9	protein-coding
49	chr5	68225408	68226327	+	0	NA	intron (NM_181523, intron 1 of 15)	intron (NM_181523, intron 1 of 15)	10111	NM_181523	5295	Hs.132225	NM_181504	ENSG00000145675	PIK3R1	AGM7|GRB1|IMD36|p85|p85-ALPHA	phosphoinositide-3-kinase regulatory subunit 1	protein-coding
47	chr4	124429116	124430089	+	0	NA	Intergenic	Intergenic	128832	NR_110838	101927087	Hs.518966	NR_110838	ENSG00000261083	LINC02516	-	long intergenic non-protein coding RNA 2516	ncRNA
142	chr17	4834635	4835819	+	0	NA	intron (NM_015716, intron 1 of 30)	intron (NM_015716, intron 1 of 30)	1887	NM_001321236	50488	Hs.443417	NM_015716	ENSG00000141503	MINK1	B55|MAP4K6|MINK|YSK2|ZC3	misshapen like kinase 1	protein-coding
6	chr1	176149645	176150576	+	0	NA	intron (NM_001286644, intron 3 of 17)	MER5A|DNA|hAT-Charlie	57134	NM_001001740	64326	Hs.523744	NM_022457	ENSG00000143207	COP1	RFWD2|RNF200	COP1 E3 ubiquitin ligase	protein-coding
171	chr21	36701934	36702122	+	0	NA	intron (NM_009586, intron 1 of 9)	intron (NM_009586, intron 1 of 9)	2913	NM_005069	6493	Hs.146186	NM_005069	ENSG00000159263	SIM2	HMC13F06|HMC29C01|SIM|bHLHe15	SIM bHLH transcription factor 2	protein-coding
33	chr3	195148588	195151318	+	0	NA	intron (NR_102711, intron 1 of 1)	MLT1N2|LTR|ERVL-MaLR	2082	NR_102711	101410543	Hs.658170	NR_102710	ENSG00000230266	XXYLT1-AS2	-	XXYLT1 antisense RNA 2	ncRNA
7	chr1	166840470	166841198	+	0	NA	intron (NM_017542, intron 1 of 5)	intron (NM_017542, intron 1 of 5)	1359	NM_017542	57645	Hs.432752	NM_017542	ENSG00000143157	POGK	BASS2|KRBOX2|LST003	pogo transposable element derived with KRAB domain	protein-coding
127	chr13	110558573	110560126	+	0	NA	intron (NM_017817, intron 1 of 1)	intron (NM_017817, intron 1 of 1)	2373	NM_017817	55647	Hs.743563	NM_017817	ENSG00000139832	RAB20	-	RAB20, member RAS oncogene family	protein-coding
94	chr10	103851364	103852064	+	0	NA	intron (NM_014631, intron 1 of 13)	intron (NM_014631, intron 1 of 13)	3692	NM_014631	9644	Hs.678727	NM_014631	ENSG00000107957	SH3PXD2A	FISH|SH3MD1|TKS5	SH3 and PX domains 2A	protein-coding
21	chr2	105426332	105427590	+	0	NA	intron (NM_201557, intron 1 of 5)	intron (NM_201557, intron 1 of 5)	11552	NM_001318897	2274	Hs.443687	NM_001450	ENSG00000115641	FHL2	AAG11|DRAL|FHL-2|SLIM-3|SLIM3	four and a half LIM domains 2	protein-coding
56	chr6	139147540	139148190	+	0	NA	intron (NM_016217, intron 1 of 3)	L1M5|LINE|L1	12785	NM_016217	51696	Hs.197644	NM_016217	ENSG00000112406	HECA	HDC|HDCL|HHDC|dJ225E12.1	hdc homolog, cell cycle regulator	protein-coding
75	chr7	74291624	74293563	+	0	NA	intron (NM_032421, intron 1 of 15)	AluSz|SINE|Alu	3118	NM_003388	7461	Hs.647018	NM_003388	ENSG00000106665	CLIP2	CLIP|CLIP-115|CYLN2|WBSCR3|WBSCR4|WSCR3|WSCR4	CAP-Gly domain containing linker protein 2	protein-coding
174	chr22	30421595	30422623	+	0	NA	intron (NM_001204204, intron 9 of 9)	L2a|LINE|L2	-3659	NM_016498	51537	Hs.713636	NM_016498	ENSG00000242114	MTFP1	HSPC242|MTP18	mitochondrial fission process 1	protein-coding
22	chr2	237486291	237486815	+	0	NA	promoter-TSS (NM_001042467)	promoter-TSS (NM_001042467)	143	NM_001281474	79083	Hs.102406	NM_024101	ENSG00000115648	MLPH	SLAC2-A	melanophilin	protein-coding
117	chr12	75958998	75960736	+	0	NA	Intergenic	Intergenic	71909	NM_007350	22822	Hs.602085	NM_007350	ENSG00000139289	PHLDA1	DT1P1B11|PHRIP|TDAG51	pleckstrin homology like domain family A member 1	protein-coding
173	chr22	28885020	28887956	+	0	NA	intron (NM_001206998, intron 1 of 8)	intron (NM_001206998, intron 1 of 8)	2916	NM_001206998	84133	Hs.604200	NM_032173	ENSG00000183579	ZNRF3	BK747E2.3|RNF203	zinc and ring finger 3	protein-coding
65	chr7	105006043	105009682	+	0	NA	Intergenic	AluSz6|SINE|Alu	6279	NR_024586	100216545	Hs.631150	NR_024586		KMT2E-AS1	-	KMT2E antisense RNA 1	ncRNA
14	chr2	43222751	43223968	+	0	NA	3' UTR (NM_006887, exon 2 of 2)	3' UTR (NM_006887, exon 2 of 2)	3247	NM_006887	678	Hs.503093	NM_006887	ENSG00000152518	ZFP36L2	BRF2|ERF-2|ERF2|RNF162C|TIS11D	ZFP36 ring finger protein like 2	protein-coding
148	chr17	1374342	1375172	+	0	NA	intron (NR_024058, intron 1 of 6)	L1MB8|LINE|L1	25465	NM_006761	7531	Hs.513851	NM_006761	ENSG00000108953	YWHAE	14-3-3E|HEL2|KCIP-1|MDCR|MDS	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	protein-coding
15	chr2	20195592	20197415	+	0	NA	Intergenic	L2b|LINE|L2	28627	NM_002997	6382	Hs.224607	NM_002997	ENSG00000115884	SDC1	CD138|SDC|SYND1|syndecan	syndecan 1	protein-coding
126	chr13	51541276	51542759	+	0	NA	Intergenic	MIR|SINE|MIR	-10572	NR_039852	100616423		NR_039852	ENSG00000266611	MIR4703	-	microRNA 4703	ncRNA
115	chr12	51953321	51954461	+	0	NA	intron (NM_020327, intron 1 of 8)	intron (NM_020327, intron 1 of 8)	511	NM_020327	91	Hs.438918	NM_004302	ENSG00000135503	ACVR1B	ACTRIB|ACVRLK4|ALK4|SKR2	activin A receptor type 1B	protein-coding
158	chr18	22872657	22873850	+	0	NA	Intergenic	MSTA|LTR|ERVL-MaLR	-60075	NM_002894	5932	Hs.546282	NM_002894	ENSG00000101773	RBBP8	COM1|CTIP|JWDS|RIM|SAE2|SCKL2	RB binding protein 8, endonuclease	protein-coding
9	chr1	226100174	226101337	+	0	NA	Intergenic	Intergenic	17180	NR_146920	105373113	Hs.149726	NR_146920		LINC01703	lncPARP1	long intergenic non-protein coding RNA 1703	ncRNA
74	chr7	99837762	99838457	+	0	NA	intron (NR_103869, intron 2 of 13)	intron (NR_103869, intron 2 of 13)	10096	NM_057096	64816	Hs.306220	NM_022820	ENSG00000021461	CYP3A43	-	cytochrome P450 family 3 subfamily A member 43	protein-coding
133	chr14	32232192	32233695	+	0	NA	Intergenic	Intergenic	-29674	NR_104088	101954278		NR_104088	ENSG00000202337	RNU6-8	U6-8	RNA, U6 small nuclear 8	snRNA
134	chr14	55272808	55273542	+	0	NA	intron (NM_152231, intron 1 of 1)	intron (NM_152231, intron 1 of 1)	1021	NM_152231	55030	Hs.525348	NM_017943	ENSG00000178974	FBXO34	CGI-301|Fbx34	F-box protein 34	protein-coding
64	chr7	130921840	130927323	+	0	NA	Intergenic	Intergenic	11117	NR_109780	100506860	Hs.635013	NR_109780		LINC00513	-	long intergenic non-protein coding RNA 513	ncRNA
60	chr6	158631854	158632498	+	0	NA	3' UTR (NM_020823, exon 17 of 17)	3' UTR (NM_020823, exon 17 of 17)	12567	NM_001291602	6993	Hs.445999	NM_006519	ENSG00000146425	DYNLT1	CW-1|TCTEL1|tctex-1	dynein light chain Tctex-type 1	protein-coding
176	chr22	29065548	29067101	+	0	NA	Intergenic	Intergenic	-4405	NM_015370	25770	Hs.50891	NM_015370	ENSG00000100249	C22orf31	HS747E2A|bK747E2.1	chromosome 22 open reading frame 31	protein-coding
168	chr20	43959212	43959726	+	0	NA	intron (NM_032883, intron 2 of 9)	intron (NM_032883, intron 2 of 9)	13573	NM_001098798	84969	Hs.26608	NM_032883	ENSG00000124191	TOX2	C20orf100|GCX-1|GCX1|dJ1108D11.2|dJ495O3.1	TOX high mobility group box family member 2	protein-coding
16	chr2	43483116	43483491	+	0	NA	intron (NM_001083953, intron 26 of 37)	intron (NM_001083953, intron 26 of 37)	112671	NM_001083953	63892	Hs.369592	NM_022065	ENSG00000115970	THADA	ARMC13|GITA	THADA armadillo repeat containing	protein-coding
70	chr7	36971269	36972307	+	0	NA	intron (NM_001206480, intron 16 of 21)	intron (NM_001206480, intron 16 of 21)	13324	NM_001039459	9844	Hs.434989	NM_014800	ENSG00000155849	ELMO1	CED-12|CED12|ELMO-1	engulfment and cell motility 1	protein-coding
8	chr1	42938695	42940049	+	0	NA	intron (NM_006516, intron 2 of 9)	intron (NM_006516, intron 2 of 9)	19496	NM_006516	6513	Hs.473721	NM_006516	ENSG00000117394	SLC2A1	CSE|DYT17|DYT18|DYT9|EIG12|GLUT|GLUT-1|GLUT1|GLUT1DS|HTLVR|PED|SDCHCN	solute carrier family 2 member 1	protein-coding
23	chr2	156319506	156322001	+	0	NA	Intergenic	CpG	11968	NM_173173	4929	Hs.563344	NM_006186	ENSG00000153234	NR4A2	HZF-3|NOT|NURR1|RNR1|TINUR	nuclear receptor subfamily 4 group A member 2	protein-coding
31	chr3	136624754	136627368	+	0	NA	intron (NM_005862, intron 2 of 33)	AluSz6|SINE|Alu	126317	NM_005862	10274	Hs.412586	NM_005862	ENSG00000118007	STAG1	MRD47|SA1|SCC3A	stromal antigen 1	protein-coding
48	chr4	110630382	110631726	+	0	NA	intron (NM_001204399, intron 2 of 3)	intron (NM_001204399, intron 2 of 3)	-7977	NM_000325	5308	Hs.643588	NM_000325	ENSG00000164093	PITX2	ARP1|ASGD4|Brx1|IDG2|IGDS|IGDS2|IHG2|IRID2|Otlx2|PTX2|RGS|RIEG|RIEG1|RS	paired like homeodomain 2	protein-coding
27	chr2	232316641	232317561	+	0	NA	intron (NR_046476, intron 14 of 20)	intron (NR_046476, intron 14 of 20)	-61650	NM_001632	250	Hs.284255	NM_001632	ENSG00000163283	ALPP	ALP|ALPI|IAP|PALP|PLAP|PLAP-1	alkaline phosphatase, placental	protein-coding
124	chr13	75759587	75765098	+	0	NA	intron (NM_005358, intron 5 of 29)	intron (NM_005358, intron 5 of 29)	1681	NM_015842	4008	Hs.207631	NM_005358	ENSG00000136153	LMO7	FBX20|FBXO20|LMO7b|LOMP	LIM domain 7	protein-coding
108	chr11	118315001	118315986	+	0	NA	exon (NM_000733, exon 9 of 9)	exon (NM_000733, exon 9 of 9)	10913	NM_000733	916	Hs.3003	NM_000733	ENSG00000198851	CD3E	IMD18|T3E|TCRE	CD3e molecule	protein-coding
29	chr2	105746376	105747078	+	0	NA	intron (NM_003581, intron 1 of 4)	intron (NM_003581, intron 1 of 4)	1664	NM_001004722	8440	Hs.529244	NM_003581	ENSG00000071051	NCK2	GRB4|NCKbeta	NCK adaptor protein 2	protein-coding
123	chr13	46604557	46609449	+	0	NA	intron (NM_001164213, intron 1 of 18)	MER74B|LTR|ERVL	53833	NM_001164213	23143	Hs.507971	NM_015116	ENSG00000136141	LRCH1	CHDC1|NP81	leucine rich repeats and calponin homology domain containing 1	protein-coding
66	chr7	98282815	98283567	+	0	NA	intron (NM_001159491, intron 2 of 2)	intron (NM_001159491, intron 2 of 2)	1505	NM_015379	25798	Hs.567438	NM_015379	ENSG00000164713	BRI3	I3	brain protein I3	protein-coding
111	chr11	48092881	48094338	+	0	NA	intron (NM_001098503, intron 1 of 8)	intron (NM_001098503, intron 1 of 8)	-3173	NR_036119	100423000		NR_036119	ENSG00000263693	MIR3161	-	microRNA 3161	ncRNA
5	chr1	149935311	149936325	+	0	NA	intron (NM_001145862, intron 2 of 16)	intron (NM_001145862, intron 2 of 16)	555	NM_181873	10903	Hs.425144	NM_006697	ENSG00000014914	MTMR11	CRA	myotubularin related protein 11	protein-coding
10	chr1	12614404	12615231	+	0	NA	intron (NM_004753, intron 1 of 5)	intron (NM_004753, intron 1 of 5)	1972	NM_001319225	9249	Hs.289347	NM_004753	ENSG00000162496	DHRS3	DD83.1|RDH17|Rsdr1|SDR1|SDR16C1|retSDR1	dehydrogenase/reductase 3	protein-coding
119	chr12	118370913	118371336	+	0	NA	intron (NM_001346490, intron 1 of 21)	intron (NM_001346490, intron 1 of 21)	1783	NM_001346488	51347	Hs.644420	NM_016281	ENSG00000135090	TAOK3	DPK|JIK|MAP3K18|hKFC-A	TAO kinase 3	protein-coding
76	chr7	16563026	16563849	+	0	NA	intron (NM_001195280, intron 5 of 8)	intron (NM_001195280, intron 5 of 8)	36612	NM_001195280	100506049	Hs.278036	NM_001195280	ENSG00000205858	LRRC72	-	leucine rich repeat containing 72	protein-coding
136	chr15	44835885	44836562	+	0	NA	intron (NR_146394, intron 5 of 9)	intron (NR_146394, intron 5 of 9)	46396	NR_146393	653381	Hs.878	NR_146393	ENSG00000259479	SORD2P	SORD2	sorbitol dehydrogenase 2, pseudogene	pseudo
38	chr3	188036301	188037725	+	0	NA	Intergenic	Intergenic	-60606	NR_135537	105374266	Hs.570518	NR_135537		LINC01991	-	long intergenic non-protein coding RNA 1991	ncRNA
41	chr3	52316840	52317583	+	0	NA	intron (NM_015512, intron 1 of 77)	L1MC4|LINE|L1	892	NM_015512	25981	Hs.655469	NM_015512	ENSG00000114841	DNAH1	CILD37|DNAHC1|HDHC7|HL-11|HL11|HSRF-1|SPGF18|XLHSRF-1	dynein axonemal heavy chain 1	protein-coding
112	chr11	102312620	102313642	+	0	NA	Intergenic	Intergenic	-4353	NM_182962	330	Hs.127799	NM_001165	ENSG00000023445	BIRC3	AIP1|API2|CIAP2|HAIP1|HIAP1|IAP-1|MALT2|MIHC|RNF49|c-IAP2	baculoviral IAP repeat containing 3	protein-coding
91	chr9	18855197	18856566	+	0	NA	intron (NM_001040272, intron 23 of 28)	intron (NM_001040272, intron 23 of 28)	177328	NM_001287050	158297	Hs.731593	NM_153707	ENSG00000155875	SAXO1	C9orf138|FAM154A	stabilizer of axonemal microtubules 1	protein-coding
24	chr2	195658764	195660047	+	0	NA	intron (NM_020342, intron 1 of 9)	intron (NM_020342, intron 1 of 9)	2179	NM_020342	57181	Hs.650158	NM_020342	ENSG00000196950	SLC39A10	LZT-Hs2	solute carrier family 39 member 10	protein-coding
12	chr1	222736619	222737192	+	0	NA	promoter-TSS (NR_136691)	promoter-TSS (NR_136691)	-311	NR_136691	400823	Hs.697608	NM_207468	ENSG00000197520	FAM177B	-	family with sequence similarity 177 member B	protein-coding
104	chr11	1304197	1305670	+	0	NA	intron (NM_019009, intron 1 of 5)	L1MEd|LINE|L1	-2143	NM_001318514	54472	Hs.368527	NM_019009	ENSG00000078902	TOLLIP	IL-1RAcPIP	toll interacting protein	protein-coding
156	chr18	22864547	22866632	+	0	NA	Intergenic	MER44C|DNA|TcMar-Tigger	-67739	NM_002894	5932	Hs.546282	NM_002894	ENSG00000101773	RBBP8	COM1|CTIP|JWDS|RIM|SAE2|SCKL2	RB binding protein 8, endonuclease	protein-coding
128	chr13	48527548	48528146	+	0	NA	intron (NM_001352426, intron 1 of 12)	intron (NM_001352426, intron 1 of 12)	5233	NM_001352425	1102	Hs.652712	NM_001268	ENSG00000136161	RCBTB2	CHC1L|RLG	RCC1 and BTB domain containing protein 2	protein-coding
103	chr10	50538811	50539484	+	0	NA	intron (NM_147156, intron 2 of 10)	intron (NM_147156, intron 2 of 10)	84809	NM_147156	259230	Hs.654698	NM_147156	ENSG00000198964	SGMS1	MOB|MOB1|SMS1|TMEM23|hmob33	sphingomyelin synthase 1	protein-coding
146	chr17	78995178	78999445	+	0	NA	exon (NM_001159773, exon 3 of 5)	exon (NM_001159773, exon 3 of 5)	12453	NM_001159773	124583	Hs.8859	NM_138793	ENSG00000171302	CANT1	DBQD|DBQD1|EDM7|SCAN-1|SCAN1|SHAPY	calcium activated nucleotidase 1	protein-coding
98	chr10	29725135	29725665	+	0	NA	intron (NM_001323599, intron 1 of 38)	intron (NM_001323599, intron 1 of 38)	10401	NM_003174	6840	Hs.499209	NM_003174	ENSG00000197321	SVIL	-	supervillin	protein-coding
72	chr7	20392486	20393745	+	0	NA	intron (NM_002214, intron 7 of 13)	intron (NM_002214, intron 7 of 13)	-61353	NR_110119	101927811	Hs.285724	NR_110119	ENSG00000271133	LOC101927811	-	uncharacterized LOC101927811	ncRNA
163	chr20	31720458	31721725	+	0	NA	promoter-TSS (NR_131907)	promoter-TSS (NR_131907)	-416	NR_131907	103021294		NR_131907	ENSG00000281376	ABALON	INXS	apoptotic BCL2L1-antisense long non-coding RNA	ncRNA
62	chr6	30206875	30208330	+	0	NA	intron (NM_003449, intron 1 of 9)	intron (NM_003449, intron 1 of 9)	5804	NM_003449	7726	Hs.485041	NM_003449	ENSG00000234127	TRIM26	AFP|RNF95|ZNF173	tripartite motif containing 26	protein-coding
164	chr20	50727554	50729150	+	0	NA	Intergenic	Intergenic	-3228	NM_032521	84612	Hs.589848	NM_032521	ENSG00000124171	PARD6B	PAR6B	par-6 family cell polarity regulator beta	protein-coding
25	chr2	69754236	69755939	+	0	NA	intron (NM_001320700, intron 1 of 12)	L1MB4|LINE|L1	12953	NM_001320700	307	Hs.422986	NM_001153	ENSG00000196975	ANXA4	ANX4|HEL-S-274|P32.5|PAP-II|PIG28|PP4-X|ZAP36	annexin A4	protein-coding
138	chr15	80742815	80743621	+	0	NA	intron (NM_021214, intron 1 of 2)	intron (NM_021214, intron 1 of 2)	-36152	NM_001293304	57214	Hs.459088	NM_018689	ENSG00000103888	CEMIP	CCSP1|HYBID|KIAA1199|TMEM2L	cell migration inducing hyaluronidase 1	protein-coding
4	chr1	192630396	192632459	+	0	NA	Intergenic	Intergenic	-4720	NM_002927	6003	Hs.497220	NM_002927	ENSG00000127074	RGS13	-	regulator of G protein signaling 13	protein-coding
88	chr9	4664104	4665714	+	0	NA	3' UTR (NM_203453, exon 1 of 1)	3' UTR (NM_203453, exon 1 of 1)	1571	NR_148445	55064	Hs.179615	NM_017985	ENSG00000106686	SPATA6L	C9orf68|bA6J24.2	spermatogenesis associated 6 like	protein-coding
